epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,18930.8,1.12874,0.51842,1.06831,0.95694,0.9469,0.98206,0.69179,1.13729,0.44988,1.07001,0.002872,0.002872,0.002872
74,19184.8,1.12792,0.51525,1.06418,0.95527,0.94823,0.98202,0.69125,1.13648,0.44976,1.06945,0.002773,0.002773,0.002773
75,19438.8,1.11792,0.51225,1.06027,0.95646,0.94885,0.98196,0.69091,1.136,0.45005,1.06912,0.002674,0.002674,0.002674
76,19693.6,1.11714,0.51213,1.06184,0.95645,0.94855,0.98171,0.69131,1.13615,0.45069,1.06848,0.002575,0.002575,0.002575
77,19954.1,1.1164,0.50682,1.05918,0.95651,0.94671,0.98144,0.69123,1.1372,0.45003,1.06911,0.002476,0.002476,0.002476
78,20210.4,1.11421,0.50936,1.05912,0.95714,0.94415,0.98124,0.69126,1.13642,0.44948,1.06907,0.002377,0.002377,0.002377
79,20463.4,1.10747,0.50292,1.05525,0.95481,0.94639,0.98111,0.69219,1.13527,0.44836,1.06833,0.002278,0.002278,0.002278
80,20715.8,1.10795,0.50308,1.059,0.95562,0.94692,0.98111,0.69205,1.13594,0.44831,1.06896,0.002179,0.002179,0.002179
81,20973.7,1.10534,0.50319,1.05476,0.95441,0.94688,0.98106,0.69175,1.13617,0.4477,1.0687,0.00208,0.00208,0.00208
82,21240.4,1.1043,0.50211,1.0542,0.95669,0.94386,0.98112,0.69195,1.13696,0.44722,1.06913,0.001981,0.001981,0.001981
83,21514.9,1.10575,0.49788,1.05546,0.95359,0.94722,0.9817,0.69166,1.13743,0.44761,1.06941,0.001882,0.001882,0.001882
84,21778.5,1.097,0.49576,1.05291,0.95735,0.94669,0.98179,0.69194,1.13729,0.44753,1.0693,0.001783,0.001783,0.001783
85,22044.6,1.10083,0.49651,1.05565,0.95559,0.9475,0.98191,0.69246,1.13687,0.44673,1.06917,0.001684,0.001684,0.001684
86,22309.2,1.096,0.49581,1.05302,0.95699,0.94735,0.9819,0.69255,1.13619,0.4465,1.06905,0.001585,0.001585,0.001585
87,22576.5,1.08954,0.49163,1.04982,0.95346,0.95026,0.98198,0.69274,1.13615,0.44627,1.06873,0.001486,0.001486,0.001486
88,22832.2,1.08728,0.48739,1.04885,0.95628,0.9479,0.98243,0.69308,1.1364,0.44597,1.06862,0.001387,0.001387,0.001387
89,23084.3,1.09274,0.49361,1.04815,0.9561,0.94837,0.98241,0.69338,1.13686,0.44585,1.06861,0.001288,0.001288,0.001288
90,23355.1,1.08009,0.4846,1.04435,0.95755,0.94472,0.98205,0.69316,1.13694,0.44546,1.06865,0.001189,0.001189,0.001189
